symbol,trade_id,alert_date,level,level_type,dist_pct,alert_price,alert_vol,strike,expiry_date,days_to_expiry,straddle_cost,exit_date,exit_sv,exit_pnl,exit_pnl_pct,exit_reason,days_held,scale_factor,scaled_cost,scaled_exit,scaled_pnl
VALE3.SA,12,2023-07-24,70.2,resistance,0.501,69.85,0.0173,69.85,2023-08-18,25,0.42,2023-07-25,2.53,2.11,506.43,20% target,1,2380.952380952381,1000,6023.809523809524,5023.809523809524
VALE3.SA,13,2023-07-28,66.71,support,1.36,67.63,0.0191,67.63,2023-08-18,21,0.36,2023-07-31,1.8,1.43,396.44,20% target,3,2777.777777777778,1000,5000,4000
VALE3.SA,14,2023-08-23,63.865,resistance,1.309,63.04,0.0187,63.04,2023-09-15,23,0.36,2023-08-24,0.54,0.18,51.05,20% target,1,2777.777777777778,1000,1500.0000000000002,500.0000000000002
VALE3.SA,15,2023-09-04,70.2,resistance,1.153,69.4,0.0219,69.4,2023-10-20,46,0.75,2023-09-08,2.05,1.31,175.57,20% target,4,1333.3333333333333,1000,2733.333333333333,1733.333333333333
VALE3.SA,16,2023-09-08,66.71,resistance,0,66.71,0.0224,66.71,2023-10-20,42,0.67,2023-09-11,1.53,0.86,129.34,20% target,3,1492.5373134328358,1000,2283.582089552239,1283.5820895522388
VALE3.SA,17,2023-09-14,70.2,resistance,0.114,70.12,0.0192,70.12,2023-10-20,36,0.59,2023-09-18,0.91,0.32,55.11,20% target,4,1694.9152542372883,1000,1542.3728813559323,542.3728813559323
VALE3.SA,18,2023-09-21,66.71,support,1.17,67.5,0.0203,67.5,2023-10-20,29,0.48,2023-09-22,0.91,0.43,90.66,20% target,1,2083.3333333333335,1000,1895.8333333333335,895.8333333333335
VALE3.SA,19,2023-10-18,65.31,support,0.077,65.36,0.0146,65.36,2023-11-17,30,0.44,2023-10-19,0.53,0.09,20.11,20% target,1,2272.7272727272725,1000,1204.5454545454545,204.5454545454545
VALE3.SA,20,2023-10-19,63.865,support,0.862,64.42,0.0147,64.42,2023-11-17,29,0.42,2023-10-20,1.35,0.92,218.56,20% target,1,2380.952380952381,1000,3214.2857142857147,2214.2857142857147
VALE3.SA,21,2023-10-26,65.31,resistance,0.015,65.3,0.0156,65.3,2023-11-17,22,0.34,2023-10-27,2.57,2.23,658.12,20% target,1,2941.176470588235,1000,7558.823529411764,6558.823529411764
VALE3.SA,22,2023-10-27,66.71,support,1.273,67.57,0.0171,67.57,2023-11-17,21,0.35,2023-10-30,0.88,0.53,152.68,20% target,3,2857.1428571428573,1000,2514.2857142857147,1514.2857142857147
VALE3.SA,23,2023-11-01,70.715,resistance,0.562,70.32,0.0174,70.32,2023-12-15,44,0.69,2023-11-03,1.52,0.83,119.5,20% target,2,1449.2753623188407,1000,2202.898550724638,1202.898550724638
VALE3.SA,24,2023-11-14,72.66,support,1.291,73.61,0.0185,73.61,2023-12-15,31,0.54,2023-11-16,0.96,0.42,78.19,20% target,2,1851.8518518518517,1000,1777.7777777777776,777.7777777777776
VALE3.SA,25,2023-11-24,72.66,support,1.478,73.75,0.0176,73.75,2023-12-15,21,0.38,2023-12-01,2.26,1.88,491.39,20% target,7,2631.578947368421,1000,5947.368421052631,4947.368421052631
VALE3.SA,26,2023-12-27,78.55,resistance,1.486,77.4,0.011,77.4,2024-01-19,23,0.39,2024-01-04,1.05,0.66,166.96,20% target,8,2564.102564102564,1000,2692.3076923076924,1692.3076923076924
VALE3.SA,27,2024-01-10,71.76,support,0.651,72.23,0.0107,72.23,2024-02-16,37,0.58,2024-01-11,0.95,0.36,62.04,20% target,1,1724.1379310344828,1000,1637.9310344827586,637.9310344827586
VALE3.SA,28,2024-02-02,65.31,support,1.165,66.08,0.0122,66.08,2024-03-15,42,0.61,2024-02-06,1.14,0.53,87.2,20% target,4,1639.344262295082,1000,1868.8524590163934,868.8524590163934
